locus_tag,gene,mRNA_level
BSU14290,mobB,4.51
BSU14300,moaE,5.42
BSU14310,moaD,4.04
BSU14340,yknW,7.71
BSU14350,yknX,6.94
BSU14360,yknY,7.54
BSU14370,yknZ,8.57
BSU14380,fruR,1.65
BSU14390,fruK,2.06
BSU14400,fruA,2.96
BSU14410,sipT,3.27
BSU14420,ykoA,4.04
BSU14430,ykpA,9.72
BSU14440,ykpB,3.26
BSU14450,ampS,2.69
BSU14460,ykpC,3.04
BSU14470,mreBH,2.13
BSU14480,abh,53.75
BSU14490,kinC,2.93
BSU14500,ykqA,3.92
BSU14510,ktrC,5.01
BSU14520,adeC,1.3
BSU14530,rnjA,13.95
BSU14540,ykzG,9.15
BSU14550,ykrA,4
BSU14560,def,2.43
BSU14569,ykzV,0.6
BSU14580,pdhA,57.75
BSU14590,pdhB,103.44
BSU14600,pdhC,134.78
BSU14610,pdhD,184.42
BSU14640,yktA,2.17
BSU14650,yktB,3.74
BSU14660,ykzI,1.15
BSU14670,suhB,1.58
BSU14680,ykzC,2.53
BSU14760,ylaF,3.5
BSU14770,bipA,8.64
BSU14780,ylaH,16.95
BSU14790,ylaI,2.01
BSU14810,ylaK,1.76
BSU14820,ylaL,14.49
BSU14840,ylaN,11.41
BSU14850,ftsW,1.69
BSU14860,pycA,11.56
BSU14870,ctaA,16.59
BSU14880,ctaB,13.41
BSU14920,ctaF,1.11
BSU14940,ylbA,4.67
BSU14950,ylbB,0.22
BSU14990,ylbF,4.71
BSU15000,ylbG,4.1
BSU15010,ylbH,2.8
BSU15020,coaD,3.74
BSU15040,ylbK,1.01
BSU15050,ylbL,1.42
BSU15069,ylzH,2.42
BSU15070,ylbN,48.58
BSU15080,rpmF,148.5
BSU15100,ylbP,1.28
BSU15110,ylbQ,0.46
BSU15120,yllA,2.93
BSU15130,yllB,15.82
BSU15140,mraW,12.6
BSU15150,ftsL,22.94
BSU15160,pbpB,4.23
BSU15180,murE,1.89
BSU15190,mraY,4.26
BSU15200,murD,6.71
BSU15210,spoVE,5
BSU15220,murG,4.13
BSU15230,murB,6.51
BSU15240,divIB,2.22
BSU15250,ylxW,2.66
BSU15260,ylxX,3.74
BSU15270,sbp,3.32
BSU15280,ftsA,7.84
BSU15290,ftsZ,22.51
BSU15370,ylmD,3.86
BSU15380,ylmE,6.44
BSU15390,sepF,12.37
BSU15400,ylmG,14.08
BSU15410,ylmH,4.17
BSU15420,divIVA,13.86
BSU15430,ileS,7.34
BSU15450,lspA,1.11
BSU15460,rluD,2.99
BSU15470,pyrR,4.95
BSU15480,pyrP,9.93
BSU15490,pyrB,6.41
BSU15500,pyrC,10.06
BSU15510,pyrAA,16.77
BSU15520,carB,21.35
BSU15530,pyrK,22.26
BSU15540,pyrD,21.92
BSU15550,pyrF,20.54
BSU15560,pyrE,22.38
BSU15570,cysH,1.58
BSU15630,sirC,1.45
BSU15640,yloA,1.49
BSU15660,yloC,4.84
BSU15670,ylzA,9.95
BSU15680,gmk,10.78
BSU15690,rpoZ,14.47
BSU15700,coaBC,1.34
BSU15710,priA,1.22
BSU15720,def,1.22
BSU15730,fmt,2.47
BSU15740,rsmB,3.92
BSU15750,yloN,4.83
BSU15760,prpC,5.38
BSU15770,prkC,5.3
BSU15780,yloQ,7.11
BSU15790,rpe,9.18
BSU15800,thiN,2.09
BSU15810,spoVM,3.09
BSU15820,rpmB,384.59
BSU15830,yloU,5.52
BSU15840,yloV,7.12
BSU15850,sdaAB,1.63
BSU15860,sdaAA,2.58
BSU15870,recG,1.3
BSU15880,ylpC,5.99
BSU15890,plsX,7.43
BSU15900,fabD,10.9
BSU15910,fabG,16.42
BSU15920,acpP,364.4
BSU15930,rnc,9.92
BSU15940,smc,2.68
BSU15950,ftsY,6.08
BSU15970,ylxM,16.13
BSU15980,ffh,16.17
BSU15990,rpsP,139.42
BSU16000,ylqC,107.85
BSU16010,ylqD,1.77
BSU16020,rimM,2.46
BSU16030,trmD,2.53
BSU16040,rplS,667.03
BSU16050,rbgA,3.25
BSU16060,rnhB,0.63
BSU16070,ylqG,0.75
BSU16080,ylqH,0.63
BSU16090,sucC,34.6
BSU16100,sucD,34.79
BSU16110,dprA,0.18
BSU16120,topA,3.93
BSU16130,gid,3.39
BSU16140,xerC,6.46
BSU16150,clpQ,8.48
BSU16160,hslU,12.72
BSU16170,codY,25.36
BSU16180,flgB,2.07
BSU16190,flgC,2.61
BSU16200,fliE,3.39
BSU16210,fliF,3.51
BSU16220,fliG,4.75
BSU16230,fliH,5.52
BSU16240,fliI,4.26
BSU16250,fliJ,4.43
BSU16260,ylxF,4.44
BSU16270,fliK,4.74
BSU16280,flgD,5.65
BSU16290,flgG,6.94
BSU16299,ylzI,6.15
BSU16300,fliL,5.83
BSU16310,fliM,6.81
BSU16320,fliY,7.55
BSU16330,cheY,11.73
BSU16340,fliZ,7.02
BSU16350,fliP,4.15
BSU16360,fliQ,4.53
BSU16370,fliR,3.71
BSU16380,flhB,3.8
