locus_tag,gene,mRNA_level
b0679,nagE,576.068
b0680,glnS,1339.67
b0681,ybfM,312.449
b0682,ybfN,375.807
b0683,fur,3611.81
b0684,fldA,2794.43
b0685,ybfE,675.911
b0686,ybfF,585.733
b0687,seqA,3564.92
b0688,pgm,1134.97
b0689,ybfP,141.706
b0690,ybfG,235.16
b0691,ybfH,147.018
b0692,potE,94.4463
b0693,speF,256.053
b0694,kdpE,650.206
b0695,kdpD,629.338
b0696,kdpC,978.823
b0697,kdpB,61.19
b0698,kdpA,177.649
b0699,ybfA,749.755
b0700,rhsC,N.D.
b0702,ybfB,44.6313
b0703,ybfO,179.069
b0704,ybfC,N.D.
b0705,ybfL,38.6748
b0706,ybfD,35.9568
b0707,ybgA,1351.42
b0708,phrB,674.562
b0709,ybgH,903.034
b0710,ybgI,2016.54
b0711,ybgJ,1226.25
b0712,ybgK,1100.02
b0713,ybgL,1091.2
b0714,nei,898.68
b0715,abrB,327.328
b0716,ybgO,55.6076
b0717,ybgP,137.247
b0718,ybgQ,278.514
b0719,ybgD,52.6208
b0720,gltA,4711.1
b0721,sdhC,3507.19
b0722,sdhD,4385.48
b0723,sdhA,5207.02
b0724,sdhB,2151.11
b0726,sucA,4780.26
b0727,sucB,5997.73
b0728,sucC,6980.64
b0729,sucD,3364.08
b0730,farR,629.549
b0731,hrsA,161.595
b0732,ybgG,165.919
b0733,cydA,1744.37
b0734,cydB,2154.12
b0735,ybgE,662.183
b0736,ybgC,1822.76
b0737,tolQ,1200.51
b0738,tolR,1245.62
b0739,tolA,1385.05
b0740,tolB,4235.98
b0741,pal,5970.57
b0742,ybgF,3452.89
b0750,nadA,1950.68
b0751,pnuC,1425.42
b0752,ybgR,297.834
b0753,ybgS,1067.04
b0754,aroG,4836.37
b0755,gpmA,2530.79
b0756,galM,1572.08
b0757,galK,2381.48
b0758,galT,667.443
b0759,galE,1455.51
b0760,modF,568.546
b0761,modE,803.794
b0762,ybhT,841.432
b0763,modA,589.627
b0764,modB,354.58
b0765,modC,234.09
b0766,ybhA,680.633
b0767,ybhE,1761.65
b0768,ybhD,97.8092
b0769,ybhH,148.926
b0770,ybhI,86.5701
b0771,ybhJ,183.272
b0772,ybhC,1950.91
b0773,ybhB,820.043
b0774,bioA,1878.29
b0775,bioB,1792.14
b0776,bioF,605.541
b0777,bioC,636.352
b0778,bioD,673.491
b0779,uvrB,1289.12
b0780,ybhK,523.068
b0781,moaA,1729.84
b0782,moaB,2130.46
b0783,moaC,2098.59
b0784,moaD,1988.77
b0785,moaE,1370.25
b0786,ybhL,1742.38
b0787,ybhM,49.3803
b0788,ybhN,180.426
b0789,ybhO,428.069
b0790,ybhP,529.15
b0791,ybhQ,578.144
b0792,ybhR,267.928
b0793,ybhS,649.282
b0794,ybhF,236.595
b0795,ybhG,588.845
b0796,ybiH,315.212
b0797,rhlE,457.377
b0798,ybiA,268.613
b0799,dinG,274.32
b0800,ybiB,1069.12
b0801,ybiC,2103.12
b0802,ybiJ,604.583
b0803,ybiI,234.956
b0804,ybiX,230.407
b0805,ybiL,380.228
b0806,ybiM,1373.26
b0807,ybiN,752.555
b0808,ybiO,246.593
b0809,glnQ,2236.29
b0810,glnP,1881.57
b0811,glnH,4602.6
b0812,dps,6343.03
b0813,ybiF,261.788
b0814,ompX,5308.19
b0815,ybiP,257.495
b0817,mntR,1245.73
b0818,ybiR,409.762
b0819,ybiS,1736.13
b0820,ybiT,1040.88
b0821,ybiU,626.466
b0822,ybiV,776.478
b0823,ybiW,1069.32
b0824,ybiY,592.79
b0825,fsa,868.213
b0826,moeB,332.129
b0827,moeA,626.07
b0828,ybiK,1251.9
b0829,yliA,1250.05
b0830,yliB,802.166
b0831,yliC,411.454
b0832,yliD,364.981
b0833,yliE,414.608
b0834,yliF,577.912
b0835,yliG,1198.94
b0836,yliH,196.357
